,emotion,content,updated_content
7020,happiness,spending some quality time with my fender tele deluxe...true love,spend qualiti time tender tell deluxetru love
7025,happiness,@barnaby3 I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,saw tour month ago boston good glad final got
7030,happiness,just met Sarah Kelly... wow... she is an amazing woman of God!  and she gave me a free t-shirt!  gotta love free merch,met sarah belli now amaz woman god gave free shirt gutta love free march
7035,happiness,"going  back to bed  for a  nap, Im starving !!! tty l",go bed nap in starv tri l
7041,happiness,[Sarah Mcglaclan song in background] Please donate to jpnnbak' fund of &quot;Dinero for the cable bill&quot; think of how you will make her,[sarah mcglaclan song background] donat jpnnbak fund quotdinero cabl billquot think
7055,happiness,@jasonperryrock Is you cat clean again?  Hope so ;) Xx,cat clean hope ) xx
7056,happiness,Good morning everyone,good morn
7057,happiness,"@geerlingguy http://tinyurl.com/dlqo2p is a good one, nice",http://tinyurlcom/drop good nice
7059,happiness,Got my braces tightened today. Then I got McDonalds! HAHA  Sport tomorrow yay yay yay! Netball tryouts.. wish me luck to make the team! :l,got brace tighten today got macdonald hata sport tomorrow may may may netbal trout wish luck team :l
7063,happiness,@Jerrica_Perez That's great! I hope I'll study with my bff too and we'll live together. well..we will see,that great hope ill studi off live well
7071,happiness,Listening 2 music @ home all alone lol  who wants 2 come over &amp; hang with me LOL!!,listen music @ home ll want come amp hang ll
7074,happiness,toy story 3! june 2010. i can't wait that long.,toy stori june can wait long
7105,happiness,Having internet access on board means I can see what bad weather we are flying into   http://bit.ly/h14Tw,internet access board mean bad weather fli http://billy/how
7108,happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,anna desk pa iron concert thailand anna muchhhhh *burst tears*
7116,happiness,Just Decorated Moms Room While She Was Asleep For Mothers Day  She'll Wake Up To A Banner And Balloons! Woo!,decor moss room asleep mother day shell wake banner balloon who
7117,happiness,Heading downtown! Drinks and dancing!!,head downtown drink danc
7126,happiness,Went to mikey's cousin's wedding. His mom caught the bouquet.,went mile cousin wed mon caught bouquet
7133,happiness,My birthday is a week from today!,birthday week today
7145,happiness,cba with exams! 17 left!,cab exam left
7147,happiness,back to athens. ????? ? ??????,athen
7153,happiness,@Petty01 Happy Birthday and cheers to PAO!!,happi birthday cheer pay
7156,happiness,done with the photo album  as im a good person so i make it quite private for now. pity you ben haha,photo album in good person privat piti ben hata
7158,happiness,@ishaka Thanks,thank
7166,happiness,cant wait for thursday!,can wait thursday
7169,happiness,good morning  finally a day of sunshine for my summer hol!  away to watch the footie in the sun  x,good morn final day sunshin summer how away watch foot sun x
7170,happiness,@svickn G'morning! Good to know you're alive and well today!,morn good know your aliv today
7179,happiness,happy superwomans day !,happi superwoman day
7193,happiness,@Mary_R_Roberts I LOOK forward to seeing and sharing,look forward see share
7194,happiness,"@spumante hahaha! Yes, I do",havana ye
7195,happiness,"@_chloe yes! it's on youtube  its from may 7th, and it made me feel 100x better. it's halarious.",ye coutur th feel x better hazard
7196,happiness,hello thereeeeeee,hello thereeeeee
7208,happiness,Good episode of Top Gear tonight.,good episod gear tonight
7212,happiness,@Storm_Crow Morning!,morn
7216,happiness,@JOY949 thanks for promoing the show for me in my absence  Glad you liked it. @sealfur and @flipthetape rock!,thank promot absenc glad like rock
7221,happiness,@UniqueMakis Awesome! Wish I could fly out to see her,awesom wish fli
7224,happiness,Lan Poker is so much fun!!!!  Someone help me remember ki compre chal raha hai abhi!!!!,an poker fun help rememb i compar coal rah had ah
7247,happiness,just had a great dinner with my wonderful girlfriend.,great dinner wonder girlfriend
7248,happiness,@jaackyx ha you'll do fine! just be positive!  &amp;aha i know huh. wht a long conversation. i remeber you and allyson did even lnger ones! x],ha you fine posit alpha know hut who long convers rememb allison longer one x]
7249,happiness,what's good about working a double?...Jasmin,what good work doublejasmin
7286,happiness,@Pon_and_Zi Thanks! I'm on my way now,thank in way
7288,happiness,Bank holiday mondaaaaaay   Exams tomorrow  D:,bank holiday mondaaaaaay exam tomorrow d:
7299,happiness,"@JasonBradbury Not addicted, just sociable.",addict social
7303,happiness,@buckhollywood HEY BUCK!!!!  love u loads!! LOVE &quot;WHAT THE BUCK?!&quot;,hey buck love u load love quotwhat buckquot
7305,happiness,"fuckkk i need sleepppppppp lol, happy mothers day mummy",fuck need sleepppppppp ll happi mother day mummi
7308,happiness,@BoyceAvenue hey guys it's leann. . i dont know if you remember me but i just wanted to say that i'm very excited to see you guys go far,hey gun learn dont know rememb want in excit gun far
7313,happiness,Woo! Nachos AND ice cream  haha,who anchor ice cream hata
7322,happiness,"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",oh yeah radio play earth wind fire
7330,happiness,My inner desire is to go to an isle in the middle of the Mediterranean to soak up the sun; Good night... as I dream that inner desire.,inner desir isl middl mediterranean soak sun good night dream inner desir
7340,happiness,"@faeriegal713 Yep, finished, chocked full of spelling and grammatical errors, but I'm cleaning it up tomorrow and popping it up  hehe",yep finish check spell grammat error in clean tomorrow pop here
7351,happiness,"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",pegelcap a tell kuilbuttot awesomewa amaz templecultureambiencetruli amaz thailand
7360,happiness,@supprintdesign oh i like that let me c,oh like let c
7368,happiness,Scratch that. Now we're watching 'marley and me'. Thinking I could stay awake better for this one.,scratch watch barley think stay awak better
7372,happiness,"@mellalicious I have to call stevie to reschedule!!  I won a competition yesterday to the launch of sims 3 at Luna park, same day at 6pm",steve schedul competit yesterday launch aim lung park day pm
7375,happiness,@bloodhoundgang aww that's awesome! he's a good guy,www that awesom he good guy
7383,happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,interest reap tomorrow sleep work
7387,happiness,on my way homee  i love long car rides&lt;3,way home love long car ride
7388,happiness,jb are so cute!  lmfao -giggles-,j cut lafa giggler
7396,happiness,May the 4th be with you! Happy Star Wars Day twirps!  ROFL,th happi star war day third roll
7408,happiness,had an amazing night with the girls,amaz night girl
7415,happiness,Going home. Hope one of you out there saw the play.,go home hope saw play
7424,happiness,@NakedSoap @dandineen lol yep sure do... although I must get out the house today !!!,ll yep sure hous today
7429,happiness,@johncmayer That widewale courduroy'll get ya everytime!,sidewalk courduroyl a everytim
7441,happiness,Sitting in Gatwick- going home for a week! cant wait to see family,sit patrick go home week can wait famili
7442,happiness,@yelyahwilliams  but i love your haaaaair!,love haaaaair
7452,happiness,today was the BEST &lt;3 eff yeah i &lt;3 @ohbabyitsashley,today best it off yeah it
7455,happiness,"@Ciaee Yessir, yessir, three cheeks full.",lesser lesser cheek
7457,happiness,alhamdulilah. i got accepted into nafa,alhamdulilah got accept tafa
7466,happiness,freedom,freedom
7469,happiness,@steve_berra happy birthday!,happi birthday
7470,happiness,"@karlixpaz Hmm... it's a miracle you're using twitter, and it's fun... so... Tweet!",him miracl your twitter fun sweet
11,sadness,@kevholditch It's NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,good director said home said work too good last
14,sadness,@lunafactor I kinda wish I went with you now!.. I can't fall asleep,kind wish went can fall asleep
19,sadness,"I've been to Rome, Italy. I love it there. Elegance, style. Very difficult to live in Chicago. No elegance here. Sad.",give rome itali love eleg style difficult live chicago eleg sad
25,sadness,i give uppp a hour of tryin to tlk to @mitchelmusso  i love him but my minutesss lol,up hour tri talk love minut ll
31,sadness,"Aww @danbharris is getting married, congrats to him and his new wife! Now I miss the WN Weekend people",www get marri congress new wife miss in weekend peopl
42,sadness,"Best day at work, best weekend ahead. Hopefully I will have someone to go to USC with...",best day work best weekend ahead hope u
49,sadness,Just got home from school LOL 2 1/2 weeks left yay!!! Then off 2 summer school,got home school ll / week left may summer school
53,sadness,"@nova_caine I saw it, it made me sad",saw sad
54,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep,iii in iodi can fall asleep
64,sadness,@gimboland sorry change of plans for me   :'( revision for monday exam in a park with one of my friends,sorri chang plan :( revis monday exam park friend
67,sadness,Downloading Chex-Quest!  Been about 12 years sins it's final release you say? Your Right!,download chexquest year sin final releas right
73,sadness,nobody loves me on twitter,love twitter
95,sadness,I miss Cary and want to drink some chocolate milk with him.,miss mari want drink chocol milk
104,sadness,UGG WANT TO GO TO KAYLEN HOUSE BUT I CANT FINNA BE BORED THIS WEEKEND!!! UUURGG WANNA SPEND DA NITE  AND GO SEE UP AND GO SHOPPING,ogg want fallen hous can finn bore weekend uuurgg anna spend da note shop
107,sadness,I've been offered Fred on loan but I has no moniiieeeess...,give offer fred loan moniiieeeess
113,sadness,feels sick to my stomach and idkk whyy,feel sick stomach idea whi
114,sadness,Matty is le tired.,fatti le tire
118,sadness,i wish mum hadn't spent forever talking to me so i could call my kiera later &gt;.&lt;. i don't have much time left now though,wish sum hadn spent forev talk vera later gilt dont time left
121,sadness,"@ShaneSakata Hi Shane, that link doesn't seem to work",hi share link doesn work
126,sadness,"OMG, time to sleep, today was an horror, i really hope best weekends *---*..Goodnight buddies",org time sleep today horror hope best weekend **goodnight bodi
